title,subtitle,url,star,quote
"['搏击俱乐部', '\xa0/\xa0Fight Club']",['\xa0/\xa0搏击会(港)  /  斗阵俱乐部(台)'],https://movie.douban.com/subject/1292000/,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
"['饮食男女', '\xa0/\xa0飲食男女']",['\xa0/\xa0Eat Drink Man Woman'],https://movie.douban.com/subject/1291818/,9.2,人生不能像做菜，把所有的料都准备好了才下锅。
"['美丽心灵', '\xa0/\xa0A Beautiful Mind']",['\xa0/\xa0有你终生美丽(港)  /  美丽境界(台)'],https://movie.douban.com/subject/1306029/,9.1,爱是一切逻辑和原由。
"['本杰明·巴顿奇事', '\xa0/\xa0The Curious Case of Benjamin Button']",['\xa0/\xa0奇幻逆缘(港)  /  班杰明的奇幻旅程(台)'],https://movie.douban.com/subject/1485260/,9.0,在时间之河里感受溺水之苦。
"['窃听风暴', '\xa0/\xa0Das Leben der Anderen']",['\xa0/\xa0窃听者(港)  /  他人的生活'],https://movie.douban.com/subject/1900841/,9.2,别样人生。
"['情书', '\xa0/\xa0Love Letter']",['\xa0/\xa0When I Close My Eyes  /  Letters of Love'],https://movie.douban.com/subject/1292220/,8.9,暗恋的极致。
"['穿条纹睡衣的男孩', '\xa0/\xa0The Boy in the Striped Pajamas']",['\xa0/\xa0穿条纹衣服的男孩  /  穿条纹衣的男孩'],https://movie.douban.com/subject/3008247/,9.2,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
"['两杆大烟枪', '\xa0/\xa0Lock, Stock and Two Smoking Barrels']",['\xa0/\xa0够姜四小强(港)  /  两根枪管(台)'],https://movie.douban.com/subject/1293350/,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
"['西西里的美丽传说', '\xa0/\xa0Malèna']",['\xa0/\xa0真爱伴我行(台)  /  玛莲娜'],https://movie.douban.com/subject/1292402/,8.9,美丽无罪。
"['看不见的客人', '\xa0/\xa0Contratiempo']",['\xa0/\xa0死无对证(港)  /  布局(台)'],https://movie.douban.com/subject/26580232/,8.8,你以为你以为的就是你以为的。
"['拯救大兵瑞恩', '\xa0/\xa0Saving Private Ryan']",['\xa0/\xa0雷霆救兵(港)  /  抢救雷恩大兵(台)'],https://movie.douban.com/subject/1292849/,9.1,美利坚精神输出大片No1.
"['音乐之声', '\xa0/\xa0The Sound of Music']",['\xa0/\xa0仙乐飘飘处处闻(港)  /  真善美(台)'],https://movie.douban.com/subject/1294408/,9.1,用音乐化解仇恨，让歌声串起美好。
